run_name,model,tags,state,gpu,gpu_count,cpu_cores,cpu_logical,total_runtime_s,train_runtime_s,train_samples_per_sec,eval_samples_per_sec,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,epochs,total_flos
vivit_220_run_0,vivit,vivit_220,finished,Tesla V100S-PCIE-32GB,2,36,72,2428.67,2355.22,0.484,0.703,0.2530629262328148,0.8505614995956421,0.56,0.5454545454545454,0.5,20,1623384731679621000
vivit_220_run_1,vivit,vivit_220,finished,Tesla V100S-PCIE-32GB,2,36,72,2415.82,2342.05,0.487,0.706,0.2724563578764598,0.5306762456893921,0.84,0.8571428571428571,0.6666666666666666,20,1623384731679621000
vivit_220_run_2,vivit,vivit_220,finished,Tesla V100S-PCIE-32GB,2,36,72,2418.49,2346.17,0.486,0.715,0.26683280418316524,0.6815624833106995,0.72,1,0.5,20,1623384731679621000
vivit_220_run_3,vivit,vivit_220,finished,Tesla V100S-PCIE-32GB,2,36,72,2411.11,2339.29,0.487,0.71,0.32154633700847624,0.4180321991443634,0.88,1,0.625,20,1623384731679621000
vivit_220_run_4,vivit,vivit_220,finished,Tesla V100S-PCIE-32GB,2,36,72,2413.51,2341.82,0.487,0.718,0.29598214030265807,0.6311914324760437,0.72,0.75,0.5454545454545454,20,1623384731679621000
vivit_220_run_5,vivit,vivit_220,finished,Tesla V100S-PCIE-32GB,2,36,72,2410.98,2338.85,0.487,0.711,0.2842999711632729,0.5900610089302063,0.76,0.7,0.7,20,1623384731679621000
vivit_220_run_6,vivit,vivit_220,finished,Tesla V100S-PCIE-32GB,2,36,72,2416.84,2344.4,0.486,0.704,0.31699497401714327,0.4375134408473969,0.84,0.8888888888888888,0.7272727272727273,20,1623384731679621000
vivit_220_run_7,vivit,vivit_220,finished,Tesla V100S-PCIE-32GB,2,36,72,2421.42,2349.04,0.485,0.711,0.3339265098174413,0.7005078196525574,0.64,0.5,0.3333333333333333,20,1623384731679621000
vivit_220_run_8,vivit,vivit_220,finished,Tesla V100S-PCIE-32GB,2,36,72,2415.24,2342.65,0.487,0.705,0.29903233647346494,0.6905028820037842,0.64,0.6,0.3,20,1623384731679621000
vivit_220_run_9,vivit,vivit_220,finished,Tesla V100S-PCIE-32GB,2,36,72,2424.84,2352.83,0.485,0.715,0.266849477092425,0.8652331829071045,0.6,0.4666666666666667,0.7777777777777778,20,1623384731679621000
convnext_4481_run_0,convnext,convnext_4481,finished,Tesla V100S-PCIE-32GB,2,36,72,3224.14,2449.57,8.842,13.279,0.1911487293899606,0.3386008143424988,0.88,0.625,0.0847457627118644,20,544264648564654100
convnext_4481_run_1,convnext,convnext_4481,finished,Tesla V100S-PCIE-32GB,2,36,72,3297.96,2520.77,8.593,12.826,0.18436893051097153,0.26281556487083435,0.9178947368421052,0.7333333333333333,0.2391304347826087,20,544264648564654100
convnext_4481_run_2,convnext,convnext_4481,finished,Tesla V100S-PCIE-32GB,2,36,72,3335.89,2559.96,8.461,12.645,0.1910919789327394,0.30075696110725403,0.911578947368421,0,0,20,544264648564654100
convnext_4481_run_3,convnext,convnext_4481,finished,Tesla V100S-PCIE-32GB,2,36,72,3346.4,2567.19,8.437,12.802,0.18225547269396825,0.33800816535949707,0.8863157894736842,1,0.01818181818181818,20,544264648564654100
convnext_4481_run_4,convnext,convnext_4481,finished,Tesla V100S-PCIE-32GB,2,36,72,3321.27,2547.92,8.501,12.868,0.17292615264107328,0.3318181037902832,0.88,0.75,0.09836065573770492,20,544264648564654100
convnext_4481_run_5,convnext,convnext_4481,finished,Tesla V100S-PCIE-32GB,2,36,72,3301.54,2530.99,8.558,12.742,0.1778831435999739,0.23848725855350497,0.9263157894736842,0.6666666666666666,0.05555555555555555,20,544264648564654100
convnext_4481_run_6,convnext,convnext_4481,finished,Tesla V100S-PCIE-32GB,2,36,72,3317.41,2545.16,8.51,12.398,0.1978993320136989,0.22597552835941315,0.9263157894736842,1,0.027777777777777776,20,544264648564654100
convnext_4481_run_7,convnext,convnext_4481,finished,Tesla V100S-PCIE-32GB,2,36,72,3319.54,2549.04,8.497,12.577,0.16779318898916246,0.3790699541568756,0.8673684210526316,0,0,20,544264648564654100
convnext_4481_run_8,convnext,convnext_4481,finished,Tesla V100S-PCIE-32GB,2,36,72,3323.84,2553.46,8.483,11.638,0.18096572632363084,0.349590539932251,0.8905263157894737,0.5555555555555556,0.09433962264150944,20,544264648564654100
convnext_4481_run_9,convnext,convnext_4481,finished,Tesla V100S-PCIE-32GB,2,36,72,3331.48,2556.63,8.472,12.064,0.2004882354801948,0.18648311495780945,0.9221052631578948,1,0.02631578947368421,20,544264648564654100
convnext_5309_run_0,convnext,convnext_5309,finished,Tesla V100S-PCIE-32GB,2,36,72,3261.83,2489.09,8.702,12.724,0.2021636046127442,0.3012442886829376,0.8863157894736842,1,0.0847457627118644,20,544264648564654100
convnext_5309_run_1,convnext,convnext_5309,finished,Tesla V100S-PCIE-32GB,2,36,72,2579.64,2500.18,8.663,12.039,0.18436893051097153,0.26281556487083435,0.9178947368421052,0.7333333333333333,0.2391304347826087,20,544264648564654100
convnext_5309_run_2,convnext,convnext_5309,finished,Tesla V100S-PCIE-32GB,2,36,72,2576.4,2499.47,8.666,12.785,0.1910919789327394,0.30075696110725403,0.911578947368421,0,0,20,544264648564654100
convnext_5309_run_3,convnext,convnext_5309,finished,Tesla V100S-PCIE-32GB,2,36,72,2561.59,2484.91,8.717,12.865,0.18225547269396825,0.33800816535949707,0.8863157894736842,1,0.01818181818181818,20,544264648564654100
convnext_5309_run_4,convnext,convnext_5309,finished,Tesla V100S-PCIE-32GB,2,36,72,2557.92,2480.91,8.731,12.762,0.17292615264107328,0.3318181037902832,0.88,0.75,0.09836065573770492,20,544264648564654100
convnext_5309_run_5,convnext,convnext_5309,finished,Tesla V100S-PCIE-32GB,2,36,72,2565.1,2488.04,8.706,12.702,0.1778831435999739,0.23848725855350497,0.9263157894736842,0.6666666666666666,0.05555555555555555,20,544264648564654100
convnext_5309_run_6,convnext,convnext_5309,finished,Tesla V100S-PCIE-32GB,2,36,72,2574.59,2497.58,8.672,12.733,0.1978993320136989,0.22597552835941315,0.9263157894736842,1,0.027777777777777776,20,544264648564654100
convnext_5309_run_7,convnext,convnext_5309,finished,Tesla V100S-PCIE-32GB,2,36,72,2562.03,2485.04,8.716,12.724,0.16779318898916246,0.3790699541568756,0.8673684210526316,0,0,20,544264648564654100
convnext_5309_run_8,convnext,convnext_5309,finished,Tesla V100S-PCIE-32GB,2,36,72,2557.5,2480.45,8.732,12.686,0.18096572632363084,0.349590539932251,0.8905263157894737,0.5555555555555556,0.09433962264150944,20,544264648564654100
convnext_5309_run_9,convnext,convnext_5309,finished,Tesla V100S-PCIE-32GB,2,36,72,2553.3,2476.68,8.746,12.78,0.2004882354801948,0.18648311495780945,0.9221052631578948,1,0.02631578947368421,20,544264648564654100
vivit_7673_run_0,vivit,vivit_7673,finished,Tesla V100S-PCIE-32GB,2,36,72,2379.79,2307.4,0.494,0.702,0.32806248366832735,0.5831738114356995,0.76,0.75,0.75,20,1623384731679621000
vivit_7673_run_1,vivit,vivit_7673,finished,Tesla V100S-PCIE-32GB,2,36,72,2394.51,2322.51,0.491,0.713,0.308927628894647,0.5727832317352295,0.76,0.7142857142857143,0.5555555555555556,20,1623384731679621000
vivit_7673_run_2,vivit,vivit_7673,finished,Tesla V100S-PCIE-32GB,2,36,72,2389.29,2317.96,0.492,0.715,0.29230995774269103,0.6451476216316223,0.68,0.6363636363636364,0.6363636363636364,20,1623384731679621000
vivit_7673_run_3,vivit,vivit_7673,finished,Tesla V100S-PCIE-32GB,2,36,72,2389.3,2317.05,0.492,0.71,0.3071932315826416,0.7555304169654846,0.68,0.75,0.5,20,1623384731679621000
vivit_7673_run_4,vivit,vivit_7673,finished,Tesla V100S-PCIE-32GB,2,36,72,2390.89,2319.72,0.491,0.723,0.2866069013873736,0.6949316263198853,0.64,0.5,0.8888888888888888,20,1623384731679621000
vivit_7673_run_5,vivit,vivit_7673,finished,Tesla V100S-PCIE-32GB,2,36,72,2385.56,2314.24,0.493,0.716,0.34422893822193146,0.6518456935882568,0.72,1,0.3,20,1623384731679621000
vivit_7673_run_6,vivit,vivit_7673,finished,Tesla V100S-PCIE-32GB,2,36,72,2381.59,2310.03,0.494,0.717,0.35512415965398153,0.6449170112609863,0.68,0.625,0.5,20,1623384731679621000
vivit_7673_run_7,vivit,vivit_7673,finished,Tesla V100S-PCIE-32GB,2,36,72,2382.22,2310.85,0.493,0.717,0.3019341061512629,0.5816528797149658,0.72,0.8,0.6153846153846154,20,1623384731679621000
vivit_7673_run_8,vivit,vivit_7673,finished,Tesla V100S-PCIE-32GB,2,36,72,2401.15,2328.97,0.489,0.706,0.3119718462228775,0.7012549042701721,0.68,0.6153846153846154,0.7272727272727273,20,1623384731679621000
vivit_7673_run_9,vivit,vivit_7673,finished,Tesla V100S-PCIE-32GB,2,36,72,2389.69,2318.13,0.492,0.716,0.35984154840310417,0.46369874477386475,0.84,0.8888888888888888,0.7272727272727273,20,1623384731679621000
